Name,Code,CURRENCY,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Q4 2006,Q3 2006,Q2 2006,Q1 2006,Q4 2005
CHONGQING YUKAIFA 'A' - MRKT VALUE TO BOOK,CN:CRE(MTBV),CH,0.85,0.88,0.95,0.97,0.96,1.06,1.22,1.03,1.25,1.28,1.03,1.12,1.27,1.87,1.72,2.14,2.12,2.73,3.37,2.21,2.2,2.71,3.47,1.9,3.7,2.92,2.13,1.64,1.31,1.46,1.37,1.25,1.01,1.21,1.5,1.31,1.54,1.34,1.3,1.62,2.19,2.47,2.64,2.94,2.58,4.03,4.07,3.54,4.86,3.18,1.68,1.72,2.05,3.38,3.91,4.21,4.67,2.02,3.13,3.3,3.17,2.34,2.41
CHONGQING YUKAIFA 'A' - MARKET VALUE,CN:CRE(MV),CH,2868.82,2970.07,3197.89,3265.39,3223.2,3560.71,3974.16,3358.21,4066.97,4168.22,3079.76,3358.21,3805.41,5585.76,5163.88,6421.09,6353.59,8209.89,9855.24,6471.72,6429.53,7923.01,9711.8,5332.63,10361.5,8184.57,5973.89,4606.98,3678.84,4092.29,3653.53,3324.45,2691.63,3221.67,3819.98,3329.06,3919.7,3416.92,3228.64,4030.57,5439.18,6129.54,6004.02,6694.38,5871.53,9179.41,8608.88,7486.8,10288.81,6732.42,3315.49,3404.24,4050.86,6680.72,7246.39,7807.17,8655.68,3735.35,863.94,913.31,876.28,647.07,668.23
CHONGQING YUKAIFA 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:CRE(WC08287A),CH,2.432,2.367,2.257,2.342,2.301,2.328,1.987,2.058,2.22,2.202,2.181,2.172,2.111,2.073,2.091,2.18,2.207,2.233,2.234,2.45,2.538,2.599,2.613,2.649,2.78,2.768,2.759,2.811,2.658,2.856,2.837,2.846,2.695,2.651,2.639,2.357,2.331,2.198,2.098,2.526,2.395,2.081,2.022,1.896,1.807,1.65,1.648,1.636,1.627,1.557,1.557,1.594,1.398,1.417,1.436,1.536,1.414,1.423,3.485,3.443,3.546,2.563,3.702
RONGAN PROPERTY 'A',CN:NZM(P),CH,2.65,2.84,2.9,2.81,2.45,2.69,2.76,2.64,3.07,3.19,2.31,2.58,3.06,4.22,3.38,4.23,4.65,5.15,5.26,4.49,4.84,4.73,6.79,3.87,5.83,4.48,2.53,2.84,1.54,1.65,1.63,1.71,1.58,1.89,2.54,2.24,2.21,2.26,1.7,1.82,2.87,2.7,2.15,2.18,2.12,3.97,3.31,3.01,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.88
RONGAN PROPERTY 'A' - TOTAL ASSETS,CN:NZM(WC02999A),CH,76964243,70866797,67300649,58259223,47619150,41194723,39575551,39220574,34232105,27801664,24022136,22350686,20663341,15792421,12953436,11474878,10602946,9347079,10981133,8956797,8359052,8297072,7862073,7847506,6503922,6060832,5955048,5768494,6300368,7093474,8129124,8683658,8924516,9995843,10751714,10760579,10973607,10427275,10292533,9368902,8760102,7994803,7155563,6548033,6049677,5635435,5013293,2818824,2563854,1937,1340,177477,185666,211211,219777,453027,476488,591182,602789,700864,720182,771093,806383
RONGAN PROPERTY 'A' - MRKT VALUE TO BOOK,CN:NZM(MTBV),CH,1.03,1.1,1.12,1.09,0.95,1.04,1.31,1.25,1.46,1.51,1.55,1.73,2.05,2.83,2.55,3.19,3.51,3.89,4.56,3.89,4.19,4.1,5.97,3.4,5.12,3.93,2.19,2.46,1.34,1.43,1.59,1.68,1.55,1.85,2.88,2.55,2.51,2.56,2.35,2.51,3.96,3.73,3.59,3.64,3.55,6.63,6.35,5.77,1.28,0.28,-27.57,-27.57,-27.57,-27.57,-4.28,-4.28,-4.28,-4.28,-3.5,-3.5,-3.5,-3.5,-5.21
RONGAN PROPERTY 'A' - MARKET VALUE,CN:NZM(MV),CH,8437.38,9042.33,9233.36,8946.81,7800.6,8564.74,8787.62,8405.55,9774.63,10156.7,7354.86,8214.51,9742.79,13436.14,10761.65,13467.98,14805.23,16397.19,16747.42,14295.8,15410.18,15059.94,21618.82,12321.75,18551.64,14253.35,8044.7,9031.71,4913.85,5253.46,5189.79,5455.11,5041.2,6017.61,8076.54,7131.98,7025.85,7185.05,5423.27,5805.35,9148.46,8607.2,6834.81,6940.95,6760.52,12629.55,10528.16,9572.98,2122.61,466.61,466.61,466.61,466.61,466.61,466.61,466.61,466.61,466.61,466.61,466.61,466.61,466.61,613.6
RONGAN PROPERTY 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:NZM(WC08287A),CH,8.725,8.466,8.197,8.095,6.631,6.052,5.902,7.133,6.292,5.116,5.059,4.915,4.773,3.78,3.071,2.761,2.557,2.322,2.987,2.524,2.358,2.288,2.17,2.22,1.814,1.65,1.623,1.654,1.835,2.122,2.497,2.799,2.978,3.457,3.838,4.426,4.587,4.396,4.455,4.236,4.346,4.082,3.755,3.75,3.493,3.394,3.022,2.176,2.105,-0.11,-0.079,-1.093,-1.187,-1.78,-2.017,-4.612,-6.698,-9.753,-4.515,-4.947,-5.418,-5.68,-6.845
SZ SEZ RLST.& PROPS. (GP.) 'A',CN:SRA(P),CH,7.57,7.34,7.14,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,10.4,11.42,12.92,12.02,13.47,11.45,6.87,5.18,3.77,4.5,3.75,3.55,3.29,3.56,4.11,3.26,3.74,3.54,3.26,4.23,5.12,5.12,4.7,5.3,4.43,6.72,7.18,4.86,5.17,3.79,2.6,3,3.88,6.8,7.98,9.48,7.04,6.82,4.9,5.19,4.11,3.84,4.73
SZ SEZ RLST.& PROPS. (GP.) 'A' - TOTAL ASSETS,CN:SRA(WC02999A),CH,6100064,5051769,4824172,4646323,4446696,4460164,4863228,5284250,4998075,4760173,4511348,4398617,4470512,4128865,3941774,3784507,3759971,3817580,3749819,4059871,4446463,4241329,4147740,4504551,4443422,4390581,4361242,4402920,4362256,4374890,4188307,4575364,4195271,4050224,3692889,3474946,3269079,3185956,3230278,3273010,3348701,3350408,3383872,3391027,3243391,3334502,3358366,3405565,2164222,2124612,2251925,2245859,2264197,2244691,NA,2404435,2537966,2351618,2306125,NA,2284018,2260051,2158725
SZ SEZ RLST.& PROPS. (GP.) 'A' - MRKT VALUE TO BOOK,CN:SRA(MTBV),CH,2.02,1.96,1.9,2.98,2.98,2.98,3.08,3.08,3.08,3.08,3.39,3.39,3.39,3.39,4,4,4,4,4.27,4.27,3.98,4.37,5.61,5.22,5.84,4.97,3.22,2.42,1.76,2.11,2.04,1.93,1.79,1.93,2.54,2.02,2.31,2.19,2.16,2.8,3.39,3.39,3.33,3.76,3.14,4.76,5.91,4,4.26,3.12,2.18,2.51,3.25,5.69,6.92,8.22,6.11,5.92,4.79,5.07,4.02,3.75,4.9
SZ SEZ RLST.& PROPS. (GP.) 'A' - MARKET VALUE,CN:SRA(MV),CH,6749.86,6544.78,6366.45,9959.84,9959.84,9959.84,9959.84,9959.84,9959.84,9959.84,9959.84,9959.84,9959.84,9959.84,9959.84,9959.84,9959.84,9959.84,9959.84,9959.84,9273.26,10182.75,11520.24,10717.75,12010.66,10209.5,6125.7,4618.8,3361.56,4012.47,3343.72,3165.39,2933.56,3174.31,3664.72,2906.81,3334.81,3156.47,2906.81,3771.72,4565.29,4565.29,4190.8,4725.79,3950.05,5991.95,6402.11,4333.46,4609.88,3379.39,2318.32,2674.98,3459.64,6063.29,7115.45,8452.93,6277.28,6081.12,4369.13,4627.71,3664.72,3423.97,4217.55
SZ SEZ RLST.& PROPS. (GP.) 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SRA(WC08287A),CH,1.587,1.299,1.27,1.256,1.236,1.207,1.326,1.481,1.443,1.393,1.354,1.375,1.416,1.462,1.394,1.353,1.351,1.425,1.418,1.582,1.804,1.797,1.779,1.992,1.892,2.008,2.018,2.293,2.299,2.321,2.248,2.768,2.543,2.471,2.258,2.183,2.084,2.054,2.113,2.158,2.242,2.308,2.37,2.594,2.509,2.702,2.733,2.792,1.78,1.757,1.864,1.855,1.875,1.915,NA,2.146,2.257,2.104,2.227,NA,2.297,2.283,2.213
CHINA ENTERPRISE 'A',CN:CES(P),CH,3.13,3.4,3.36,3.9,4.07,4.26,4.65,4.53,5.19,5.46,4.65,4.57,4.09,4.56,5.17,5.58,5.67,6.07,5.32,4.21,4.21,4.57,6.49,5.93,9.42,6.61,5.72,4.67,4.04,4.45,4.8,4.93,3.24,3.69,3.67,2.78,3.25,2.89,2.35,3.1,4.29,4.73,4.37,4.53,4.53,6.76,7.16,6.81,7.75,5.28,2.74,3.02,3.43,7.27,8.7,12.54,9.19,4.02,3.36,2.35,1.53,1.74,1.28
CHINA ENTERPRISE 'A' - TOTAL ASSETS,CN:CES(WC02999A),CH,46927688,45771780,47594901,49741283,48976756,49386979,51754520,46632482,48213553,48704941,54420306,52679594,52181212,26508465,27321742,27993545,28100143,28724142,29889879,34228075,32186259,36715597,36343175,37434711,41624215,40248423,40541842,39495816,39019160,38801390,35980911,38245646,30767462,26067933,25571231,26796214,25151612,23973162,23694813,23355774,24608682,24226529,21699112,21224001,19531573,15939542,13714504,12493998,10696777,9428130,9979542,10183244,10035817,10326163,9622067,9429311,8716156,7956860,7578275,7735139,7794680,7873924,7250991
CHINA ENTERPRISE 'A' - MRKT VALUE TO BOOK,CN:CES(MTBV),CH,1.21,1.32,1.3,1.51,1.58,1.65,1.87,1.82,2.08,2.19,2.06,1.88,1.68,0.74,3.21,3.47,3.52,3.77,3.66,2.89,2.89,3.15,5.35,4.89,7.77,5.45,2.52,2.06,1.78,1.96,1.87,1.93,1.26,1.44,1.45,1.1,1.28,1.14,1.05,1.38,1.91,2.1,2.23,2.31,2.31,3.45,4.33,4.12,4.69,3.19,1.89,2.09,2.37,5.03,6.73,9.69,7.1,3.11,3.35,2.35,1.52,1.73,1.47
CHINA ENTERPRISE 'A' - MARKET VALUE,CN:CES(MV),CH,19080.89,20726.85,20483,23774.91,24811.26,25969.53,28347.02,27615.48,31638.93,33274.73,28347.02,25839.78,23109.89,10212.81,11575.76,12509.29,12714.67,13610.86,11930.5,9428.64,9428.64,10250.15,14544.38,13293.46,21116.43,14805.77,12808.02,10474.2,9055.23,9973.21,10751.15,11046.77,7250.41,8261.73,8230.62,6239.09,7281.53,6478.13,5275.85,6944.89,9618.18,10608.29,9787.91,10155.67,10155.67,15156.25,16037.57,15265.07,17364.97,11826.89,6136.48,6767.54,7692.37,16298.68,19493.88,28089.31,20590.96,9004.14,7518.56,5272.75,3424.5,3891.8,2873.51
CHINA ENTERPRISE 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:CES(WC08287A),CH,2.984,2.901,3.027,3.322,3.278,3.226,3.41,3.171,3.323,3.234,3.961,5.267,5.204,7.255,7.569,7.892,7.738,8.792,9.173,11.774,12.462,14.475,13.366,9.685,9.111,8.008,7.98,6.902,6.684,6.412,6.273,6.846,5.135,4.497,4.499,4.921,4.637,4.602,4.699,5.283,5.779,5.512,4.94,5.505,5.151,4.158,3.702,3.675,3.239,2.803,3.078,3.33,3.264,3.476,3.32,3.234,3.156,3.336,3.372,3.454,3.717,4.121,3.721
GRANDJOY HOLDINGS GROUP 'A',CN:BAH(P),CH,3.6,3.86,4.4,4.64,5.09,5.38,7.18,6.77,6.42,6.56,4.88,5.77,5.78,8,8,8,7.53,8.04,8.92,9.43,9.43,11.02,14.05,11.9,18.89,10.23,8.46,5.44,3.26,3.48,3.71,3.88,3.65,3.81,4.36,3.78,4.54,4.1,3.8,4.53,5.72,6.52,6.23,7,6.88,10.04,11.23,11.06,11.14,7.19,4.8,4.74,5.59,11.84,12.77,16.28,9.09,5.29,3.71,3.49,2.3,2.19,1.8
GRANDJOY HOLDINGS GROUP 'A' - TOTAL ASSETS,CN:BAH(WC02999A),CH,211908846,202243645,197488665,195886402,195241934,190100098,181107903,175033889,168232124,166029917,89937885,88298784,84300979,79510832,74682923,68318583,63701515,62341145,60586119,64158011,58755120,57080454,54761552,54679940,49110528,46085473,45886030,45484278,43423482,40476850,40215183,38700116,35291817,35511141,34944050,35140165,34667865,33091567,32708426,22684021,21588446,21351558,20135770,15061292,13837484,13821038,13286076,9727954,9908024,9087191,9047512,9542850,6519196,6204848,6000562,5468856,3875858,3283355,2458521,2053927,2008551,1886007,1906828
GRANDJOY HOLDINGS GROUP 'A' - MRKT VALUE TO BOOK,CN:BAH(MTBV),CH,0.84,0.9,1.03,1.08,1.19,1.26,1.45,1.37,1.3,1.33,1.13,1.33,1.33,1.85,2.19,2.19,2.06,2.2,2.75,2.9,2.9,3.39,4.26,3.61,5.73,3.1,2.56,1.65,0.99,1.05,1.24,1.3,1.22,1.28,1.66,1.44,1.73,1.56,1.54,1.84,2.32,2.65,2.42,2.71,2.67,3.89,3.43,3.38,3.4,2.2,2.74,2.71,3.19,6.77,6.73,8.58,4.6,2.67,4.82,4.54,3,2.85,2.58
GRANDJOY HOLDINGS GROUP 'A' - MARKET VALUE,CN:BAH(MV),CH,15430.73,16545.16,18859.77,19888.49,21817.33,23060.36,28187.75,26578.14,25204.08,25753.71,8851.02,10465.24,10483.37,14509.86,14509.86,14509.86,13657.41,14582.39,16178.48,17103.48,17103.48,19987.31,25482.92,21583.39,34261.37,18554.46,15344.16,9866.69,5912.76,6311.78,6728.94,7037.27,6620.11,6910.31,7907.86,6855.9,8234.34,7436.29,6892.17,8216.2,10374.54,11825.52,11299.54,12696.11,12478.46,18209.86,20368.19,20059.87,20204.97,13040.73,8705.91,8597.09,10138.76,21483.64,23161.35,29527.55,15821.64,9197.8,6448.95,6071.25,4007.86,3814.35,3124.22
GRANDJOY HOLDINGS GROUP 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:BAH(WC08287A),CH,11.018,10.864,10.762,10.147,10.305,9.854,9.33,10.147,9.992,9.924,11.441,11.979,11.815,11.511,11.264,11.161,11.106,10.782,10.283,11.654,10.517,9.253,9.16,9.264,8.587,7.712,7.667,8.33,8.089,7.561,7.437,8.068,7.431,7.346,7.335,8.227,7.885,7.346,7.329,5.264,4.727,4.679,4.304,2.944,2.695,2.353,2.238,2.998,3.073,2.838,2.85,2.908,1.928,1.829,1.744,1.682,2.194,2.172,1.838,1.627,1.617,1.59,1.574
METRO LAND 'A',CN:NHG(P),CH,3.74,4.45,4.01,4.2,3.89,3.72,4.53,3.98,4.7,5.5,4.17,4.43,4.59,5.96,5.67,7.64,7.61,8.33,8.85,9.41,9.24,9.3,10.84,8.26,11.77,9.35,7.59,5.95,4.97,4.98,4.39,5.09,4.77,5.36,5.1,3.91,4.68,5.03,4.69,6.45,8.46,8.65,7.14,6.28,5.7,9.06,8.19,6.46,7.41,4.62,3.13,3.43,4.86,11.18,10.19,6.58,4.68,3.68,1.93,2.28,2.69,1.86,1.76
METRO LAND 'A' - TOTAL ASSETS,CN:NHG(WC02999A),CH,47021606,45788170,48577874,47168910,46064606,45584570,45327273,43599000,42178160,40380374,31243274,32525733,29215542,29552348,27515821,29081246,29043878,30416107,28407600,30699349,27077047,27473131,27365191,30217572,29521256,29316985,29530699,27118624,25782892,25526380,23970168,23884431,23454798,23331970,14935396,14851717,14289544,14066574,13508802,9801287,8991624,8152374,8489003,7120771,6770550,5755683,5096055,4015396,3192835,2313872,1518261,1746356,1863048,1722911,2030706,1363198,1167432,1005562,950491,1016508,986699,984457,1035340
METRO LAND 'A' - MRKT VALUE TO BOOK,CN:NHG(MTBV),CH,0.82,0.97,0.88,0.92,0.85,0.81,1.25,1.1,1.3,1.52,1.21,1.28,1.33,1.72,1.79,2.41,2.4,2.62,3.01,3.2,3.14,3.16,4.05,3.08,4.4,3.49,3.01,2.36,1.97,1.97,1.74,2.02,1.89,2.13,2.05,1.57,1.88,2.03,1.98,2.72,3.57,3.65,3.1,2.72,2.47,3.93,3.93,3.1,3.56,2.22,2.17,2.38,3.38,7.77,4.78,3.08,2.19,1.72,1.85,2.19,2.58,1.79,1.8
METRO LAND 'A' - MARKET VALUE,CN:NHG(MV),CH,2770.51,3296.46,2970.52,3111.27,2881.62,2755.69,3355.72,2948.29,3481.65,4074.28,3089.04,3281.64,3400.17,4415.03,4200.21,5659.54,5637.32,6170.67,6555.88,6970.71,6844.78,6889.23,8030.02,6118.82,8718.95,6926.27,5622.5,4407.62,3681.66,3689.07,3252.01,3770.55,3533.51,3970.56,3777.96,2896.44,3466.84,3726.11,3474.25,4778.01,6266.97,6407.72,5289.14,4652.08,4222.43,6711.44,6064.5,4785.42,5491.63,3422.39,1323.76,1450.77,2057.61,4733.36,4315.63,2785.82,1980.47,1557.09,816.18,966.71,1137.74,789.05,745.21
METRO LAND 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:NHG(WC08287A),CH,14.702,13.333,14.328,15.166,15.375,16.003,16.869,16.526,16.126,14.786,12.189,14.241,12.533,12.115,11.702,14.342,13.997,14.36,13.044,15.461,14.052,13.603,13.796,17.372,16.879,16.27,15.807,16.71,15.131,14.182,12.845,13.817,13.169,12.097,8.118,9.483,8.777,8.302,7.694,5.377,4.872,4.382,4.968,4.6,4.307,3.793,3.306,2.724,2.169,1.61,2.491,2.521,2.463,2.354,2.247,2.941,2.505,2.184,2.153,2.317,2.273,2.304,2.501
GZH.PER.RVR.DEVGP. 'A',CN:GPR(P),CH,3.65,2.85,3,3.49,3.63,3.11,3.79,3.63,4.01,5.12,4.35,4.46,5.64,6.13,6.18,6.93,7.33,6.65,6.55,7.02,6.26,6.56,8.45,6.57,11.98,7.96,6.08,5.15,3.79,4.28,4.01,4.68,4.23,3.98,5.54,2.27,2.44,2.28,2.16,2.12,3.12,2.63,2.49,2.28,1.75,2.91,2.89,2.17,2.59,1.79,1.08,1.08,1.44,2.69,3.1,3.75,2.43,1.79,1,1.09,1.01,0.8,0.66
GZH.PER.RVR.DEVGP. 'A' - TOTAL ASSETS,CN:GPR(WC02999A),CH,30632056,28396319,29911617,25727600,24608046,24847464,23440162,15659513,16773432,17642333,16448382,17593547,17311360,14555476,13362655,12846879,14559244,13942774,12548524,12956058,11703690,10339112,10341569,7467602,7122481,6596506,6766388,5827228,5831379,5822458,5250904,4916423,4940642,4118457,3525668,3346076,2853688,2737471,2788928,2577286,2511523,2202322,2296726,1836393,1821496,1824758,1792114,1758264,1518166,1475136,1391725,1373169,1377934,1396549,1182106,1164679,1109786,1027340,1043908,1050561,1028206,1010335,955361
GZH.PER.RVR.DEVGP. 'A' - MRKT VALUE TO BOOK,CN:GPR(MTBV),CH,1.48,1.15,1.21,1.41,1.47,1.26,1.01,0.96,1.06,1.36,1.2,1.23,1.55,1.69,1.82,2.04,2.16,1.96,2.17,2.33,2.07,2.17,3.13,2.44,4.44,2.95,2.51,2.12,1.56,1.76,1.87,2.18,1.97,1.86,3.26,1.34,1.44,1.34,1.67,1.64,2.41,2.03,2.41,2.21,1.69,2.82,3.14,2.35,2.81,1.94,1.27,1.28,1.7,3.17,3.79,4.59,2.98,2.19,1.31,1.43,1.32,1.05,0.88
GZH.PER.RVR.DEVGP. 'A' - MARKET VALUE,CN:GPR(MV),CH,3115.13,2432.36,2560.38,2978.58,3098.06,2654.26,3234.62,3098.06,3422.38,4369.71,3712.55,3806.43,4813.52,5231.71,5274.38,5914.48,6258.71,5675.51,5590.16,5995.56,5341.24,5597.28,7211.74,5604.39,10227.3,6792.12,5191.88,4395.32,3233.67,3655.65,3423.32,3992.3,3609.82,3398.04,4725.64,1940.83,2086.24,1942.78,1843.08,1809.04,2659.7,2244.47,2128.51,1947.08,1492.57,2482.01,2468.92,1851.69,2212.68,1529.98,920.23,925.84,1228.85,2296.84,2642.86,3203.97,2078,1531.85,856.64,929.58,864.12,682.69,566.73
GZH.PER.RVR.DEVGP. 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:GPR(WC08287A),CH,12.496,11.471,14.184,9.86,9.476,8.917,7.292,5.025,5.321,5.565,5.305,5.578,5.52,4.776,4.611,4.482,5.193,5.184,4.868,5.179,4.87,4.42,4.493,3.408,3.341,3.137,3.266,2.938,2.927,2.99,2.868,2.862,2.915,2.647,2.435,2.396,2.299,2.389,2.528,2.485,2.537,2.38,2.605,2.279,2.333,2.28,2.276,2.322,2.054,2.032,1.92,1.901,1.938,1.981,1.693,1.714,1.655,1.535,1.6,1.64,1.59,1.562,1.484
XUEDA (XIAMEN) ED. TGP. 'A',CN:XCF(P),CH,26.49,38.29,52.39,55.64,57.26,39.84,31.1,26.26,20.97,27.23,18.24,28.18,28.18,28.18,36.68,34.89,28.39,36.6,38.99,43.25,49.4,55,66.69,43.13,22.3,22.3,19.14,19.59,17.91,15.73,19.2,22.4,9.6,9.6,9.48,8.15,7.99,7.83,6.55,9.21,11.85,13.57,12.31,10.67,10.58,14.6,13.22,11.85,8.34,6.59,3.97,4.61,5.04,8.35,8.74,8.95,6.8,7.34,4.23,4.91,4.86,3.62,4.56
XUEDA (XIAMEN) ED. TGP. 'A' - TOTAL ASSETS,CN:XCF(WC02999A),CH,4472534,5235260,3513560,3547115,3385740,3482292,3590787,3868060,3613057,3932039,3646202,3776516,3543571,3855745,3578625,3731346,3525111,3720814,3434793,3514316,3800970,332401,335359,203332,200774,201286,200798,200653,195027,192755,197956,202652,202974,203610,203138,205401,198242,196036,198186,193764,202237,190924,192495,184460,182248,190176,192066,186195,188241,179382,182241,172776,180388,200627,200465,196423,192730,240529,238173,187213,186299,191377,205357
XUEDA (XIAMEN) ED. TGP. 'A' - MRKT VALUE TO BOOK,CN:XCF(MTBV),CH,22.21,32.1,35.88,38.11,39.22,27.29,30.17,25.47,20.34,26.41,20.91,32.3,32.3,32.3,49.98,47.54,38.68,49.87,78.11,86.64,98.96,110.18,44.91,29.04,15.02,15.02,11.77,12.05,11.01,9.67,11.96,13.95,5.98,5.98,5.66,4.86,4.77,4.67,4,5.62,7.24,8.29,7.55,6.54,6.49,8.95,8.53,7.65,5.38,4.25,2.65,3.08,3.37,5.58,5.32,5.44,4.14,4.46,2.65,3.08,3.05,2.27,2.35
XUEDA (XIAMEN) ED. TGP. 'A' - MARKET VALUE,CN:XCF(MV),CH,3119.53,4509.13,5039.66,5352.3,5508.13,3832.41,2991.67,2526.08,2017.21,2619.39,1754.6,2710.78,2710.78,2710.78,3528.43,3356.24,2730.98,3520.74,3750.65,4160.43,4752.03,5290.72,6415.25,4148.89,2145.15,2145.15,1841.17,1884.46,1722.85,1513.15,1846.94,2154.77,923.47,923.47,911.93,783.99,768.6,753.21,630.08,885.96,1139.91,1305.37,1184.16,1026.4,1017.74,1404.45,1271.7,1139.91,802.27,633.92,381.89,443.46,484.82,803.23,840.74,860.95,654.13,706.07,406.9,472.32,467.51,348.23,361.38
XUEDA (XIAMEN) ED. TGP. 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:XCF(WC08287A),CH,4.171,5.406,25.016,27.205,23.3,40.968,36.207,26.753,20.785,48.317,43.443,27.493,20.613,53.176,50.687,35.782,24.656,68.572,71.531,33.043,28.872,2.337,2.348,1.277,1.266,1.273,1.284,1.294,1.273,1.256,1.282,1.27,1.262,1.256,1.26,1.26,1.26,1.252,1.258,1.226,1.274,1.223,1.227,1.263,1.239,1.287,1.288,1.313,1.331,1.258,1.267,1.101,1.136,1.283,1.268,1.306,1.281,1.584,1.553,1.081,1.068,1.166,1.337
SHANGHAI GUIJIU 'A',CN:HAW(P),CH,44.46,16.55,11.7,8.15,8.91,12.3,12.86,13.02,9,5.66,4.9,3.77,3.76,5.64,5.86,6.7,6.69,7.95,10.79,13.86,13.69,15.45,20.04,9.54,13.72,11.69,8.16,9.22,6.84,6.03,6.06,5.82,5.07,6.18,6.97,5.84,7.91,6.83,5.95,9.32,6.17,7.8,6.37,5.83,4.88,7.11,7.8,5.53,6.33,4.41,2.6,3.83,3.42,6.64,7.48,7.29,5.75,4.84,2.63,2.93,2.64,2.25,2
SHANGHAI GUIJIU 'A' - TOTAL ASSETS,CN:HAW(WC02999A),CH,1074756,1005615,NA,345646,338226,424384,452456,489597,406111,530959,414410,690449,731555,745548,813050,594576,360926,431944,547063,871924,1314294,1266398,1371210,1336192,1348340,1705199,1390620,1201764,1158323,1052648,1062811,1050497,983406,994150,931722,1038214,1009643,921765,930877,980968,885501,841195,777166,740236,796775,676179,637061,737463,786110,776918,794221,743589,806375,829586,1029423,1132801,892039,920825,915416,1250794,1173279,1177545,1186391
SHANGHAI GUIJIU 'A' - MRKT VALUE TO BOOK,CN:HAW(MTBV),CH,58.36,21.72,15.36,10.7,11.69,16.14,16.88,17.09,12.03,7.56,5.64,4.34,4.33,6.49,7.21,8.25,8.24,9.79,82.69,106.22,104.92,118.41,13.54,6.44,9.27,7.9,4.67,5.27,3.91,3.45,3.93,3.78,3.29,4.01,4.6,3.86,5.22,4.51,4.12,6.46,4.28,5.41,4.61,4.22,3.53,5.14,5.71,4.05,4.63,3.23,1.93,2.84,2.54,4.93,5.62,5.47,4.32,3.63,2.07,2.3,2.08,1.77,1.59
SHANGHAI GUIJIU 'A' - MARKET VALUE,CN:HAW(MV),CH,14870.5,5535.46,3913.29,2725.92,2980.12,4113.97,4301.27,4354.79,3065.09,1927.6,1668.77,1283.93,1280.53,1920.79,1995.71,2281.79,2278.38,2707.49,3674.7,4720.23,4662.34,5261.73,6824.93,3248.99,4672.55,3981.21,2779.01,3140.01,2329.47,2053.61,2063.83,1982.09,1726.67,2104.69,2373.74,1988.9,2693.87,2326.06,2026.36,3174.07,2101.29,2656.41,2169.4,1985.5,1661.96,2421.42,2656.41,1883.33,2155.78,1501.9,885.47,1304.37,1164.73,2261.36,2547.43,2482.73,1958.25,1648.34,895.69,997.86,899.09,766.27,681.13
SHANGHAI GUIJIU 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:HAW(WC08287A),CH,2.375,2.353,NA,1.316,1.304,1.649,1.776,1.923,1.338,1.776,1.4,2.316,2.519,2.63,2.939,11.339,7.237,9.199,12.311,1.884,2.824,2.607,2.719,2.39,2.356,2.918,2.335,2.333,2.257,2.006,2.026,1.957,1.825,1.882,1.807,2.055,2.032,1.853,1.894,2.031,1.836,1.774,1.65,1.575,1.691,1.455,1.369,1.589,1.691,1.688,1.73,1.624,1.754,1.824,2.269,2.568,2.017,2.095,2.113,2.913,2.714,2.735,2.764
TIANJIN GUANGYU DEV.'A',CN:TLI(P),CH,5.23,5.75,6.27,6.69,7.3,6.63,7.77,6.37,6.92,9.21,7.49,8.01,9.64,13.08,12.77,13.3,8.21,9.75,9.08,8.69,8.01,7.65,11.7,7.14,11.98,10.47,8.65,7.09,5.73,7.04,5.7,7.99,5.26,6.45,7.35,5.43,7.19,6.35,5.35,5.27,7.75,9.81,8.26,10.95,10.11,15.54,14.28,7.81,8.92,5.4,2.84,3.46,4.19,9.02,13.5,19.72,8.85,6.77,6.24,4.51,3.92,2.44,2.39
